ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10003791,HY193540,3/21/2015 18:30,016XX W HOWARD ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,CTA STATION,TRUE,FALSE,2422,24,49,1,26,1164257,1950346,2015,2/10/2018 15:50,42.01937255,-87.67088757,"(42.019372548, -87.670887574)"
10019166,HY208447,4/2/2015 23:40,075XX N SHERIDAN RD,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,2422,24,49,1,6,1165597,1950217,2015,2/10/2018 15:50,42.01899001,-87.66596025,"(42.018990006, -87.665960248)"
10002257,HY191622,3/20/2015 9:45,075XX N SHERIDAN RD,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2422,24,49,1,6,1165632,1950070,2015,2/10/2018 15:50,42.01858589,-87.66583567,"(42.018585888, -87.665835672)"
10005028,HY137542,2/2/2015 15:10,075XX N CLARK ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,TRUE,FALSE,2422,24,49,1,18,1162880,1950033,2015,2/10/2018 15:50,42.0185428,-87.67596361,"(42.018542803, -87.675963609)"
10001801,HY191444,3/20/2015 6:42,075XX N DAMEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2424,24,49,1,08B,1161659,1950022,2015,2/10/2018 15:50,42.01853826,-87.68045699,"(42.018538263, -87.680456992)"
10004436,HY194394,3/22/2015 15:00,075XX N RIDGE BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,2411,24,49,2,26,1160553,1950001,2015,2/10/2018 15:50,42.01850372,-87.68452748,"(42.018503716, -87.684527475)"
10002734,HY191645,3/20/2015 10:33,075XX N PAULINA ST,560,ASSAULT,SIMPLE,CTA BUS,FALSE,FALSE,2422,24,49,1,08A,1163690,1950023,2015,2/10/2018 15:50,42.01849825,-87.67298323,"(42.018498254, -87.672983233)"
10010000,HY199392,3/26/2015 4:50,075XX N PAULINA ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,2422,24,49,1,6,1163690,1950023,2015,2/10/2018 15:50,42.01849825,-87.67298323,"(42.018498254, -87.672983233)"
10017497,HY206890,4/1/2015 20:20,075XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2422,24,49,1,26,1162886,1950016,2015,2/10/2018 15:50,42.01849603,-87.67594201,"(42.018496028, -87.675942011)"
10006791,HY196049,3/23/2015 22:00,075XX N OAKLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2411,24,49,2,14,1159680,1949977,2015,2/10/2018 15:50,42.01845597,-87.68774064,"(42.018455973, -87.687740637)"
10011573,HY200645,3/14/2015 20:30,075XX N OAKLEY AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,2411,24,49,2,26,1159680,1949977,2015,2/10/2018 15:50,42.01845597,-87.68774064,"(42.018455973, -87.687740637)"
10003693,HY193341,3/21/2015 16:05,075XX N OAKLEY AVE,460,BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,2411,24,49,2,08B,1159680,1949969,2015,2/10/2018 15:50,42.01843402,-87.68774086,"(42.01843402, -87.687740859)"
10018795,HY207903,4/2/2015 14:30,075XX N WESTERN AVE,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,FALSE,FALSE,2411,24,50,2,6,1159016,1949964,2015,2/10/2018 15:50,42.01843402,-87.69018441,"(42.018434017, -87.690184406)"
10005293,HY195023,3/20/2015 17:30,075XX N ASHLAND AVE,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,2422,24,49,1,5,1164137,1949985,2015,2/10/2018 15:50,42.01838451,-87.67133943,"(42.018384506, -87.671339433)"
10011835,HY200405,3/27/2015 9:00,075XX N ASHLAND AVE,460,BATTERY,SIMPLE,DAY CARE CENTER,FALSE,FALSE,2422,24,49,1,08B,1164137,1949985,2015,2/10/2018 15:50,42.01838451,-87.67133943,"(42.018384506, -87.671339433)"
10010110,HY199315,3/26/2015 16:06,075XX N CLARK ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2422,24,49,1,6,1162907,1949949,2015,2/10/2018 15:50,42.01831174,-87.67586663,"(42.018311737, -87.675866628)"
10005996,HY196101,3/24/2015 0:15,075XX N WESTERN AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,2411,24,50,2,6,1159016,1949895,2015,2/10/2018 15:50,42.01824468,-87.69018631,"(42.018244679, -87.690186314)"
10018276,HY207480,4/2/2015 10:45,075XX N HARLEM AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1611,16,41,9,26,1127393,1949669,2015,2/10/2018 15:50,42.01821756,-87.80656027,"(42.018217556, -87.806560265)"
10012504,HY202181,2/27/2015 0:01,075XX N ROGERS AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2422,24,49,1,6,1164304,1949913,2015,2/10/2018 15:50,42.01818339,-87.67072696,"(42.018183391, -87.670726955)"
10004647,HY194667,3/22/2015 18:00,075XX N BELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2411,24,49,2,08B,1160011,1949862,2015,2/10/2018 15:50,42.01813355,-87.68652581,"(42.018133553, -87.68652581)"
10003288,HY192601,3/21/2015 0:05,019XX W BIRCHWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2424,24,49,1,14,1161917,1949797,2015,2/10/2018 15:50,42.01791545,-87.67951392,"(42.017915454, -87.67951392)"
